"fixed.acidity","volatile.acidity","citric.acidity","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","country"
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,"Chile"
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,"Australia"
7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,"Australia"
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,"Germany"
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7,"Australia"
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,"Australia"
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,"Germany"
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,"Australia"
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,"Chile"
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,"Chile"
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,"Germany"
7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,"Chile"
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,"Chile"
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,"Chile"
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,"Australia"
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,"Chile"
8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,"Germany"
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,"Chile"
6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,7,"Argentina"
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"Germany"
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,"Germany"
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6,"Chile"
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7,"Argentina"
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5,"Germany"
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,"Chile"
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6,"Argentina"
7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7,"Australia"
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,"Chile"
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,"Germany"
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,"Australia"
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,"Chile"
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,"Germany"
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,"Argentina"
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,"Australia"
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5,"Australia"
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7,"Chile"
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5,"Germany"
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,"Australia"
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,"Germany"
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,"Germany"
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6,"Australia"
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6,"Australia"
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5,"Chile"
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4,"Argentina"
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6,"Argentina"
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8,"Argentina"
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,"Australia"
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5,"Argentina"
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5,"Argentina"
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"Germany"
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"Germany"
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7,"Chile"
6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6,"Australia"
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,"Germany"
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"Argentina"
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,"Australia"
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,"Australia"
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,"Argentina"
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,"Australia"
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4,"Argentina"
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,"Germany"
6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6,"Australia"
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,"Germany"
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,"Germany"
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,"Germany"
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,"Argentina"
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,"Chile"
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,"Germany"
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,"Chile"
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,"Argentina"
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,"Argentina"
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,"Chile"
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,"Chile"
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,"Chile"
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,"Australia"
6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6,"Australia"
8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6,"Argentina"
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,"Chile"
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5,"Germany"
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,"Chile"
6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6,"Australia"
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,"Argentina"
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5,"Germany"
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6,"Australia"
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5,"Germany"
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,"Germany"
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6,"Australia"
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,"Chile"
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"Australia"
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,"Australia"
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,"Chile"
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5,"Argentina"
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6,"Australia"
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,"Germany"
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,"Chile"
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,"Germany"
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,"Germany"
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6,"Germany"
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6,"Argentina"
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,"Chile"
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5,"Australia"
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,"Australia"
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,"Argentina"
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6,"Argentina"
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,"Germany"
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,"Germany"
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7,"Argentina"
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7,"Argentina"
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,"Germany"
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,"Australia"
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,"Australia"
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,"Germany"
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,"Chile"
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,"Germany"
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,"Germany"
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,"Australia"
6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8,"Argentina"
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,"Argentina"
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,"Australia"
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,"Argentina"
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5,"Australia"
7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6,"Argentina"
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7,"Argentina"
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,"Chile"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"Chile"
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6,"Germany"
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,"Germany"
5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6,"Australia"
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,"Chile"
8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6,"Chile"
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"Chile"
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,"Australia"
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,"Chile"
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,"Argentina"
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,"Chile"
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,"Germany"
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,"Australia"
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,"Germany"
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6,"Argentina"
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,"Chile"
